customer_id,tenure_months,monthly_charges,support_tickets,contract_type,payment_method,paperless_billing,internet_service,avg_monthly_usage_gb,late_payments,region,churn
CUST-00001,36,66.63,0,one-year,bank-transfer,yes,dsl,189.8,0,West,0
CUST-00002,21,52.52,0,month-to-month,credit-card,no,dsl,322.2,0,Ontario,0
CUST-00003,12,79.25,1,two-year,bank-transfer,no,fiber,424.1,2,Quebec,0
CUST-00004,28,70.76,1,one-year,credit-card,yes,dsl,264.9,1,Ontario,0
CUST-00005,72,64.66,0,month-to-month,credit-card,yes,fiber,378.3,0,Ontario,0
CUST-00006,24,37.51,1,two-year,bank-transfer,no,dsl,224.4,0,West,0
CUST-00007,28,76.4,1,one-year,electronic-check,yes,dsl,110.7,1,Ontario,0
CUST-00008,61,78.13,0,one-year,electronic-check,yes,fiber,441.7,0,Quebec,0
CUST-00009,36,71.88,0,month-to-month,electronic-check,no,fiber,435.6,1,West,1
CUST-00010,51,55.3,0,month-to-month,electronic-check,yes,dsl,264.7,0,Ontario,0
CUST-00011,38,50.99,1,month-to-month,electronic-check,yes,fiber,383.0,0,Quebec,1
CUST-00012,37,59.19,1,two-year,electronic-check,yes,dsl,451.2,0,West,0
CUST-00013,6,51.43,0,one-year,credit-card,yes,dsl,72.5,0,West,0
CUST-00014,11,57.55,0,two-year,electronic-check,yes,dsl,209.8,2,Ontario,1
CUST-00015,33,73.32,1,month-to-month,credit-card,yes,fiber,464.5,1,Atlantic,1
CUST-00016,13,21.53,0,month-to-month,credit-card,yes,dsl,235.7,0,West,0
CUST-00017,28,43.14,3,month-to-month,credit-card,yes,none,0.0,0,West,0
CUST-00018,10,74.98,1,month-to-month,electronic-check,yes,fiber,460.6,1,Ontario,1
CUST-00019,62,76.39,2,two-year,electronic-check,yes,fiber,392.0,2,West,0
CUST-00020,15,71.07,3,one-year,mailed-check,yes,fiber,599.2,0,West,0
CUST-00021,12,73.51,1,one-year,mailed-check,yes,fiber,386.0,1,Ontario,0
CUST-00022,8,58.81,1,month-to-month,mailed-check,yes,dsl,177.4,1,Atlantic,0
CUST-00023,46,75.88,1,two-year,credit-card,yes,fiber,383.6,0,West,0
CUST-00024,28,61.99,3,two-year,electronic-check,yes,dsl,122.0,2,Quebec,0
CUST-00025,60,75.97,1,one-year,electronic-check,no,fiber,320.9,0,West,0
CUST-00026,18,92.42,0,month-to-month,electronic-check,yes,fiber,497.1,0,Quebec,0
CUST-00027,10,65.38,1,month-to-month,credit-card,no,fiber,382.8,0,West,0
CUST-00028,27,53.06,1,month-to-month,credit-card,yes,dsl,122.2,1,West,1
CUST-00029,69,74.78,0,month-to-month,mailed-check,no,dsl,108.1,2,Ontario,0
CUST-00030,6,71.38,2,one-year,credit-card,yes,fiber,465.9,1,Ontario,0
CUST-00031,35,66.78,1,one-year,bank-transfer,no,dsl,191.8,0,Ontario,0
CUST-00032,38,74.42,0,two-year,bank-transfer,no,fiber,442.2,0,Atlantic,0
CUST-00033,72,70.61,0,month-to-month,credit-card,yes,fiber,375.3,2,Ontario,0
CUST-00034,14,83.36,1,month-to-month,credit-card,no,fiber,477.0,0,West,1
CUST-00035,5,43.44,1,month-to-month,mailed-check,yes,none,0.0,0,Quebec,1
CUST-00036,20,40.89,1,month-to-month,electronic-check,no,dsl,196.0,0,Ontario,1
CUST-00037,51,58.82,0,month-to-month,mailed-check,yes,dsl,178.1,0,West,0
CUST-00038,29,62.55,3,month-to-month,credit-card,yes,fiber,296.5,2,Quebec,0
CUST-00039,40,86.35,1,month-to-month,credit-card,no,fiber,612.4,2,Ontario,1
CUST-00040,11,75.41,1,one-year,bank-transfer,yes,dsl,238.9,1,Ontario,0
CUST-00041,23,92.68,1,month-to-month,bank-transfer,yes,fiber,455.3,1,Ontario,1
CUST-00042,30,41.75,1,two-year,credit-card,yes,none,40.7,1,Ontario,0
CUST-00043,7,52.15,1,one-year,electronic-check,yes,dsl,364.4,0,Ontario,0
CUST-00044,30,76.38,1,month-to-month,mailed-check,no,fiber,536.6,0,Quebec,0
