feature,importance
tenure_months,0.19169246826126315
monthly_charges,0.15032141476624364
avg_monthly_usage_gb,0.1472965632796751
contract_type_month-to-month,0.107753787539242
support_tickets,0.06702199609523739
contract_type_two-year,0.06239878282238401
late_payments,0.04273391517710578
contract_type_one-year,0.030738687518495535
payment_method_electronic-check,0.02367223684017612
payment_method_bank-transfer,0.022205007533299206
region_Ontario,0.019515777089053502
payment_method_credit-card,0.01868471620628657
region_West,0.017764461005099597
paperless_billing_no,0.01629698746336794
region_Quebec,0.0160955075937532
paperless_billing_yes,0.016082208662410377
internet_service_dsl,0.013467246197250461
payment_method_mailed-check,0.012314024468978163
internet_service_fiber,0.011669081381445961
region_Atlantic,0.008134660114362388
internet_service_none,0.004140469984869901
